occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,in_large_period,in_small_period,,unique_genera
545094,occ,,IF,57064,Pseudotetrasauropus,genus,77385,Rhaetian,,205.7,201.4,15414,yes,no,,
545095,occ,,I,57064,Grallator,genus,64079,Rhaetian,,205.7,201.4,15414,yes,no,,
545096,occ,,IF,57064,Apatopus,genus,64087,Rhaetian,,205.7,201.4,15414,yes,no,,
545097,occ,,IF,57064,Rhynchosauroides,genus,56427,Rhaetian,,205.7,201.4,15414,yes,no,,
545098,occ,,IF,57064,Gwyneddichnium,genus,93712,Rhaetian,,205.7,201.4,15414,yes,no,,
545100,occ,,I,57065,Grallator,genus,64079,Rhaetian,Hettangian,205.7,199.5,15414,yes,no,,
545101,occ,,,57065,Batrachopus,genus,67448,Rhaetian,Hettangian,205.7,199.5,15414,yes,no,,
545102,occ,,I,57066,Grallator,genus,64079,Rhaetian,Hettangian,205.7,199.5,15414,yes,no,,
557173,occ,,,57685,Postosuchus,genus,38264,Norian,,227.3,205.7,15512,yes,no,,
557174,occ,,,57685,Shuvosaurus,genus,90274,Norian,,227.3,205.7,15512,yes,no,,
557177,occ,,,57685,Coelophysis,genus,38520,Norian,,227.3,205.7,15512,yes,no,,
557182,occ,,,57686,Postosuchus,genus,38264,Norian,,227.3,205.7,15512,yes,no,,
558127,occ,,IF,57917,Atreipus,genus,68367,Norian,,227.3,205.7,15573,yes,no,,
558128,occ,,I,57917,Grallator,genus,64079,Norian,,227.3,205.7,63167,yes,no,,
558130,occ,,IF,57917,Brachychirotherium,genus,77387,Norian,,227.3,205.7,15573,yes,no,,
558345,occ,38841,,57944,Bromsgroveia,genus,54993,Anisian,,246.7,241.464,57297,yes,no,,
558361,occ,19013,I,57949,Grallator,genus,64079,Norian,,227.3,205.7,78434,yes,no,,
558362,occ,,I,57949,Eubrontes,genus,66094,Norian,,227.3,205.7,15587,yes,no,,
558385,occ,,,122362,Ichthyosaurus,genus,36558,Rhaetian,,205.7,201.4,15587,yes,no,,
558388,occ,15693,,122362,Camelotia,genus,38647,Rhaetian,,205.7,201.4,16509,yes,no,,
559094,occ,,,58106,Coelophysis,genus,38520,Norian,,227.3,205.7,15654,yes,no,,
559095,occ,32381,,58107,Trilophosaurus,genus,38204,Norian,,227.3,205.7,13905,yes,no,,
562017,occ,36231,IF,58622,Deuterotrisauropus,genus,133335,Hettangian,,201.4,199.5,70951,yes,no,,
562018,occ,34651,I,58623,Eubrontes,genus,66094,Norian,,227.3,205.7,65481,yes,no,,
562020,occ,34652,I,58624,Eubrontes,genus,66094,Norian,,227.3,205.7,65481,yes,no,,
562835,occ,21596,,13273,Typothorax,genus,64792,Norian,,227.3,205.7,29602,yes,no,,
562837,occ,,,13273,Paratypothorax,genus,64939,Norian,,227.3,205.7,12954,yes,no,,
562847,occ,,,57683,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
566949,occ,,,59371,Revueltosaurus,genus,64949,Norian,,227.3,205.7,15674,yes,no,,
568152,occ,,IF,59670,Tetrasauropus,genus,77113,Middle Triassic,,246.7,237,17074,yes,no,,
572551,occ,22603,,48547,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
572553,occ,,,48547,Crosbysaurus,genus,69053,Norian,,227.3,205.7,17273,yes,no,,
572562,occ,,,22705,Rutiodon,genus,38299,Norian,,227.3,205.7,17273,yes,no,,
572571,occ,,,22705,Desmatosuchus,genus,38275,Norian,,227.3,205.7,17273,yes,no,,
572572,occ,,,22705,Stagonolepis,genus,38271,Norian,,227.3,205.7,17273,yes,no,,
572614,occ,,,13266,Diphydontosaurus,genus,64134,Norian,,227.3,205.7,17273,yes,no,,
572634,occ,,,13266,Revueltosaurus,genus,64949,Norian,,227.3,205.7,17273,yes,no,,
572651,occ,,,48424,Trilophosaurus,genus,38204,Norian,,227.3,205.7,17273,yes,no,,
572677,occ,,,48424,Revueltosaurus,genus,64949,Norian,,227.3,205.7,17273,yes,no,,
572678,occ,,,48424,Tecovasaurus,genus,69048,Norian,,227.3,205.7,17273,yes,no,,
573786,occ,17969,,13271,Lagosuchus,genus,38246,Ladinian,,241.464,237,13751,yes,no,,
575542,occ,,I,60516,Chirotherium,genus,64085,Induan,,251.902,249.9,16852,yes,no,,
577755,occ,,I,55741,Eubrontes,genus,66094,Hettangian,,201.4,199.5,17486,yes,no,,
584306,occ,,,61449,Parasuchus,genus,38298,Tuvalian,,233.6,227.3,78054,yes,no,,
586581,occ,,I,61845,Grallator,genus,64079,Norian,Rhaetian,227.3,201.4,17860,yes,no,,
587325,occ,,,46077,Thecodontosaurus,genus,53022,Rhaetian,,205.7,201.4,17881,yes,no,,
589351,occ,,IF,28092,Brachychirotherium,genus,77387,Middle Triassic,,246.7,237,67980,yes,no,,
589355,occ,,IF,28092,Phalangichnus,genus,356496,Middle Triassic,,246.7,237,17967,yes,no,,
589914,occ,20951,I,62286,Eubrontes,genus,66094,Norian,,227.3,205.7,27985,yes,no,,
589915,occ,20952,I,62286,Grallator,genus,64079,Norian,,227.3,205.7,27985,yes,no,,
590148,occ,22855,,62311,Coelophysis,genus,38520,Lacian,Sevatian,227.3,205.7,24249,yes,no,,
590160,occ,,I,52168,Grallator,genus,64079,Norian,,227.3,205.7,18009,yes,no,,
592706,occ,,IF,62766,Brachychirotherium,genus,77387,Rhaetian,,205.7,201.4,18106,yes,no,,
592708,occ,,I,62766,Grallator,genus,64079,Rhaetian,,205.7,201.4,28162,yes,no,,
592709,occ,,IF,62766,Rhynchosauroides,genus,56427,Rhaetian,,205.7,201.4,28162,yes,no,,
593059,occ,33776,IF,55418,Brachychirotherium,genus,77387,Norian,,227.3,205.7,18115,yes,no,,
593060,occ,,I,55418,Grallator,genus,64079,Norian,,227.3,205.7,62822,yes,no,,
593071,occ,,I,62841,Coelurosaurichnus,genus,68186,Norian,,227.3,205.7,18115,yes,no,,
593072,occ,,I,62841,Grallator,genus,64079,Norian,,227.3,205.7,18115,yes,no,,
593107,occ,,,62843,Erpetosuchus,genus,38279,Norian,,227.3,205.7,18115,yes,no,,
601687,occ,,,63904,Placodus,genus,36538,Olenekian,Anisian,249.9,241.464,18339,yes,no,,
601699,occ,,,63924,Tanystropheus,genus,38196,Anisian,,246.7,241.464,18339,yes,no,,
601701,occ,,,63939,Nothosaurus,genus,36442,Anisian,,246.7,241.464,18339,yes,no,,
601702,occ,,,63939,Psephosaurus,genus,36541,Anisian,,246.7,241.464,18339,yes,no,,
601711,occ,,,63945,Nothosaurus,genus,36442,Illyrian,,243.33,241.464,18339,yes,no,,
601712,occ,,,63945,Placodus,genus,36538,Illyrian,,243.33,241.464,18339,yes,no,,
601714,occ,,,63945,Psephosaurus,genus,36541,Illyrian,,243.33,241.464,18339,yes,no,,
601739,occ,,,63949,Placodus,genus,36538,Fassanian,,241.464,239.48,18339,yes,no,,
601740,occ,,,63949,Nothosaurus,genus,36442,Fassanian,,241.464,239.48,18339,yes,no,,
604143,occ,,,64316,Plateosaurus,genus,38644,Rhaetian,,205.7,201.4,18552,yes,no,,
621595,occ,,,66930,Mehliella,genus,394179,Carnian,,237,227.3,19057,yes,no,,
627731,occ,,,67699,Coelophysis,genus,38520,Norian,,227.3,205.7,19338,yes,no,,
630027,occ,,,67895,Eudimorphodon,genus,38467,Rhaetian,,205.7,201.4,19404,yes,no,,
630464,occ,,,36106,Eudimorphodon,genus,38467,Rhaetian,,205.7,201.4,19410,yes,no,,
631446,occ,,,67945,Labidosaurus,genus,37501,Kungurian,,283.3,274.4,19411,yes,yes,,
633922,occ,,I,55316,Grallator,genus,64079,Carnian,,237,227.3,19626,yes,no,,
633923,occ,,I,68224,Grallator,genus,64079,Carnian,,237,227.3,19626,yes,no,,
633927,occ,,IF,68226,Anchisauripus,genus,64083,Anisian,Ladinian,246.7,237,19626,yes,no,,
638656,occ,40806,IF,68705,Anchisauripus,genus,64083,Norian,Rhaetian,227.3,201.4,12444,yes,no,,
639028,occ,25292,IF,68776,Parabrontopodus,genus,68971,Late Hettangian,,201.4,199.5,37136,yes,no,,
639035,occ,34871,I,68778,Anomoepus,genus,67049,Late Hettangian,,201.4,199.5,66106,yes,no,,
639038,occ,,I,68780,Grallator,genus,64079,Carnian,,237,227.3,19851,yes,no,,
639039,occ,,I,68780,Anomoepus,genus,67049,Carnian,,237,227.3,19851,yes,no,,
